Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 7, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'LSSSSSS'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 22,479,360
  scalars                 : 14
  total                   : 47,645,198
Estimated FLOPs per token: 2.166651e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.011503 | lrm: 1.00 | dt: 15641ms | tok/sec: 33,520 | mfu: 0.7% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.125709 | lrm: 1.00 | dt: 278ms | tok/sec: 1,885,359 | mfu: 41.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.870928 | lrm: 1.00 | dt: 280ms | tok/sec: 1,869,180 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.433020 | lrm: 1.00 | dt: 280ms | tok/sec: 1,874,444 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.042239 | lrm: 1.00 | dt: 300ms | tok/sec: 1,747,003 | mfu: 38.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.638421 | lrm: 1.00 | dt: 284ms | tok/sec: 1,847,923 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.371412 | lrm: 1.00 | dt: 281ms | tok/sec: 1,866,224 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.148875 | lrm: 1.00 | dt: 292ms | tok/sec: 1,792,579 | mfu: 39.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.969417 | lrm: 1.00 | dt: 288ms | tok/sec: 1,818,506 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.770024 | lrm: 1.00 | dt: 283ms | tok/sec: 1,849,955 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.617823 | lrm: 1.00 | dt: 284ms | tok/sec: 1,843,046 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.448731 | lrm: 1.00 | dt: 291ms | tok/sec: 1,800,392 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.355010 | lrm: 1.00 | dt: 287ms | tok/sec: 1,828,708 | mfu: 40.0% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.323933 | lrm: 1.00 | dt: 282ms | tok/sec: 1,860,537 | mfu: 40.7% | epoch: 1 | remaining: 299s    
step 00308 (28.6%) | loss: 3.957649 | lrm: 1.00 | dt: 289ms | tok/sec: 1,816,786 | mfu: 39.8% | epoch: 1 | remaining: 214s    
step 00309 (28.7%) | loss: 3.974470 | lrm: 1.00 | dt: 288ms | tok/sec: 1,819,433 | mfu: 39.8% | epoch: 1 | remaining: 214s    
step 00310 (28.8%) | loss: 3.990881 | lrm: 1.00 | dt: 291ms | tok/sec: 1,803,986 | mfu: 39.5% | epoch: 1 | remaining: 213s    
step 00311 (28.9%) | loss: 3.996480 | lrm: 1.00 | dt: 292ms | tok/sec: 1,797,305 | mfu: 39.4% | epoch: 1 | remaining: 213s    
step 00312 (29.0%) | loss: 3.966491 | lrm: 1.00 | dt: 291ms | tok/sec: 1,799,522 | mfu: 39.4% | epoch: 1 | remaining: 213s    
step 00313 (29.1%) | loss: 3.951676 | lrm: 1.00 | dt: 290ms | tok/sec: 1,805,701 | mfu: 39.5% | epoch: 1 | remaining: 212s    
step 00314 (29.2%) | loss: 3.948838 | lrm: 1.00 | dt: 288ms | tok/sec: 1,820,502 | mfu: 39.9% | epoch: 1 | remaining: 212s    
step 00315 (29.3%) | loss: 3.910388 | lrm: 1.00 | dt: 291ms | tok/sec: 1,799,338 | mfu: 39.4% | epoch: 1 | remaining: 212s    
step 00316 (29.4%) | loss: 3.887751 | lrm: 1.00 | dt: 293ms | tok/sec: 1,792,041 | mfu: 39.2% | epoch: 1 | remaining: 211s    
step 00317 (29.5%) | loss: 3.882739 | lrm: 1.00 | dt: 290ms | tok/sec: 1,809,401 | mfu: 39.6% | epoch: 1 | remaining: 211s    
step 00318 (29.6%) | loss: 3.866157 | lrm: 1.00 | dt: 289ms | tok/sec: 1,813,060 | mfu: 39.7% | epoch: 1 | remaining: 211s    
step 00319 (29.7%) | loss: 3.855982 | lrm: 1.00 | dt: 289ms | tok/sec: 1,816,640 | mfu: 39.8% | epoch: 1 | remaining: 211s    
step 00320 (29.8%) | loss: 3.827274 | lrm: 1.00 | dt: 290ms | tok/sec: 1,810,208 | mfu: 39.6% | epoch: 1 | remaining: 210s    
step 00321 (29.9%) | loss: 3.821406 | lrm: 1.00 | dt: 287ms | tok/sec: 1,828,855 | mfu: 40.0% | epoch: 1 | remaining: 210s    
step 00322 (30.0%) | loss: 3.807269 | lrm: 1.00 | dt: 292ms | tok/sec: 1,798,086 | mfu: 39.4% | epoch: 1 | remaining: 210s    
step 00323 (30.1%) | loss: 3.785801 | lrm: 1.00 | dt: 289ms | tok/sec: 1,811,395 | mfu: 39.7% | epoch: 1 | remaining: 209s    
step 00324 (30.2%) | loss: 3.835733 | lrm: 1.00 | dt: 292ms | tok/sec: 1,795,499 | mfu: 39.3% | epoch: 1 | remaining: 209s    
step 00325 (30.3%) | loss: 3.809238 | lrm: 1.00 | dt: 288ms | tok/sec: 1,818,267 | mfu: 39.8% | epoch: 1 | remaining: 209s    
step 00326 (30.4%) | loss: 3.767236 | lrm: 1.00 | dt: 291ms | tok/sec: 1,804,646 | mfu: 39.5% | epoch: 1 | remaining: 209s    
step 00327 (30.5%) | loss: 3.772633 | lrm: 1.00 | dt: 291ms | tok/sec: 1,799,414 | mfu: 39.4% | epoch: 1 | remaining: 208s    
step 00328 (30.6%) | loss: 3.779459 | lrm: 1.00 | dt: 289ms | tok/sec: 1,816,154 | mfu: 39.8% | epoch: 1 | remaining: 208s    
step 00329 (30.7%) | loss: 3.805383 | lrm: 1.00 | dt: 292ms | tok/sec: 1,797,916 | mfu: 39.4% | epoch: 1 | remaining: 208s    
step 00330 (30.8%) | loss: 3.823485 | lrm: 1.00 | dt: 291ms | tok/sec: 1,801,730 | mfu: 39.5% | epoch: 1 | remaining: 207s    
step 00331 (30.9%) | loss: 3.819355 | lrm: 1.00 | dt: 291ms | tok/sec: 1,802,838 | mfu: 39.5% | epoch: 1 | remaining: 207s    
step 00332 (31.0%) | loss: 3.814903 | lrm: 1.00 | dt: 291ms | tok/sec: 1,799,835 | mfu: 39.4% | epoch: 1 | remaining: 207s    
step 00333 (31.0%) | loss: 3.803177 | lrm: 1.00 | dt: 291ms | tok/sec: 1,800,630 | mfu: 39.4% | epoch: 1 | remaining: 207s    
step 00334 (31.1%) | loss: 3.811310 | lrm: 1.00 | dt: 290ms | tok/sec: 1,806,001 | mfu: 39.5% | epoch: 1 | remaining: 206s    
step 00335 (31.2%) | loss: 3.824753 | lrm: 1.00 | dt: 291ms | tok/sec: 1,800,913 | mfu: 39.4% | epoch: 1 | remaining: 206s    
step 00336 (31.3%) | loss: 3.836491 | lrm: 1.00 | dt: 290ms | tok/sec: 1,810,356 | mfu: 39.6% | epoch: 1 | remaining: 206s    
step 00337 (31.4%) | loss: 3.846576 | lrm: 1.00 | dt: 289ms | tok/sec: 1,815,400 | mfu: 39.8% | epoch: 1 | remaining: 205s    
step 00338 (31.5%) | loss: 3.859530 | lrm: 1.00 | dt: 291ms | tok/sec: 1,804,596 | mfu: 39.5% | epoch: 1 | remaining: 205s    
step 00339 (31.6%) | loss: 3.832336 | lrm: 1.00 | dt: 291ms | tok/sec: 1,804,545 | mfu: 39.5% | epoch: 1 | remaining: 205s    
step 00340 (31.7%) | loss: 3.816871 | lrm: 1.00 | dt: 290ms | tok/sec: 1,806,720 | mfu: 39.6% | epoch: 1 | remaining: 205s    
step 00341 (31.8%) | loss: 3.803096 | lrm: 1.00 | dt: 288ms | tok/sec: 1,823,344 | mfu: 39.9% | epoch: 1 | remaining: 204s    
step 00342 (31.9%) | loss: 3.777267 | lrm: 1.00 | dt: 290ms | tok/sec: 1,807,513 | mfu: 39.6% | epoch: 1 | remaining: 204s    
step 00343 (32.0%) | loss: 3.785026 | lrm: 1.00 | dt: 290ms | tok/sec: 1,807,360 | mfu: 39.6% | epoch: 1 | remaining: 204s    
step 00344 (32.1%) | loss: 3.833249 | lrm: 1.00 | dt: 290ms | tok/sec: 1,806,824 | mfu: 39.6% | epoch: 1 | remaining: 203s    
step 00345 (32.2%) | loss: 3.832098 | lrm: 1.00 | dt: 290ms | tok/sec: 1,807,054 | mfu: 39.6% | epoch: 1 | remaining: 203s    
step 00346 (32.3%) | loss: 3.776477 | lrm: 1.00 | dt: 288ms | tok/sec: 1,818,483 | mfu: 39.8% | epoch: 1 | remaining: 203s    
step 00347 (32.4%) | loss: 3.781407 | lrm: 1.00 | dt: 291ms | tok/sec: 1,801,087 | mfu: 39.4% | epoch: 1 | remaining: 203s    
step 00348 (32.5%) | loss: 3.804674 | lrm: 1.00 | dt: 291ms | tok/sec: 1,801,314 | mfu: 39.4% | epoch: 1 | remaining: 202s    
step 00349 (32.6%) | loss: 3.838685 | lrm: 1.00 | dt: 290ms | tok/sec: 1,810,135 | mfu: 39.6% | epoch: 1 | remaining: 202s    
step 00350 (32.7%) | loss: 3.901041 | lrm: 1.00 | dt: 290ms | tok/sec: 1,804,914 | mfu: 39.5% | epoch: 1 | remaining: 202s    
step 00351 (32.8%) | loss: 3.876023 | lrm: 1.00 | dt: 289ms | tok/sec: 1,815,464 | mfu: 39.8% | epoch: 1 | remaining: 201s    
step 00352 (32.9%) | loss: 3.825749 | lrm: 1.00 | dt: 290ms | tok/sec: 1,806,464 | mfu: 39.6% | epoch: 1 | remaining: 201s    
step 00353 (33.0%) | loss: 3.818609 | lrm: 1.00 | dt: 291ms | tok/sec: 1,800,706 | mfu: 39.4% | epoch: 1 | remaining: 201s    
step 00354 (33.1%) | loss: 3.820484 | lrm: 1.00 | dt: 289ms | tok/sec: 1,812,712 | mfu: 39.7% | epoch: 1 | remaining: 200s    
step 00355 (33.2%) | loss: 3.849219 | lrm: 1.00 | dt: 291ms | tok/sec: 1,802,246 | mfu: 39.5% | epoch: 1 | remaining: 200s    
step 00356 (33.3%) | loss: 3.845316 | lrm: 1.00 | dt: 290ms | tok/sec: 1,805,630 | mfu: 39.5% | epoch: 1 | remaining: 200s    
step 00357 (33.4%) | loss: 3.834791 | lrm: 1.00 | dt: 291ms | tok/sec: 1,800,384 | mfu: 39.4% | epoch: 1 | remaining: 200s    
step 00358 (33.5%) | loss: 3.841768 | lrm: 1.00 | dt: 290ms | tok/sec: 1,810,615 | mfu: 39.6% | epoch: 1 | remaining: 199s    
step 00359 (33.6%) | loss: 3.854326 | lrm: 1.00 | dt: 290ms | tok/sec: 1,808,521 | mfu: 39.6% | epoch: 1 | remaining: 199s    
step 00360 (33.7%) | loss: 3.862872 | lrm: 1.00 | dt: 290ms | tok/sec: 1,809,515 | mfu: 39.6% | epoch: 1 | remaining: 199s    
step 00361 (33.8%) | loss: 3.892929 | lrm: 1.00 | dt: 292ms | tok/sec: 1,797,342 | mfu: 39.4% | epoch: 1 | remaining: 198s    
step 00362 (33.9%) | loss: 3.913813 | lrm: 1.00 | dt: 291ms | tok/sec: 1,800,563 | mfu: 39.4% | epoch: 1 | remaining: 198s    
step 00363 (33.9%) | loss: 3.921092 | lrm: 1.00 | dt: 291ms | tok/sec: 1,799,754 | mfu: 39.4% | epoch: 1 | remaining: 198s    
step 00364 (34.0%) | loss: 3.919552 | lrm: 1.00 | dt: 288ms | tok/sec: 1,818,187 | mfu: 39.8% | epoch: 1 | remaining: 198s    
step 00365 (34.1%) | loss: 3.900029 | lrm: 1.00 | dt: 291ms | tok/sec: 1,803,320 | mfu: 39.5% | epoch: 1 | remaining: 197s    
step 00366 (34.2%) | loss: 3.913150 | lrm: 1.00 | dt: 291ms | tok/sec: 1,801,406 | mfu: 39.4% | epoch: 1 | remaining: 197s    
step 00367 (34.3%) | loss: 3.874647 | lrm: 1.00 | dt: 291ms | tok/sec: 1,801,990 | mfu: 39.5% | epoch: 1 | remaining: 197s    
step 00368 (34.4%) | loss: 3.767182 | lrm: 1.00 | dt: 290ms | tok/sec: 1,809,273 | mfu: 39.6% | epoch: 1 | remaining: 196s    
step 00369 (34.5%) | loss: 3.771816 | lrm: 1.00 | dt: 291ms | tok/sec: 1,801,587 | mfu: 39.4% | epoch: 1 | remaining: 196s    
step 00370 (34.6%) | loss: 3.746395 | lrm: 1.00 | dt: 289ms | tok/sec: 1,816,127 | mfu: 39.8% | epoch: 1 | remaining: 196s    
step 00371 (34.7%) | loss: 3.752914 | lrm: 1.00 | dt: 290ms | tok/sec: 1,807,011 | mfu: 39.6% | epoch: 1 | remaining: 196s    
step 00372 (34.8%) | loss: 3.765434 | lrm: 1.00 | dt: 291ms | tok/sec: 1,800,151 | mfu: 39.4% | epoch: 1 | remaining: 195s    
step 00373 (34.9%) | loss: 3.750782 | lrm: 1.00 | dt: 292ms | tok/sec: 1,797,343 | mfu: 39.4% | epoch: 1 | remaining: 195s    
step 00374 (35.0%) | loss: 3.687465 | lrm: 1.00 | dt: 292ms | tok/sec: 1,793,416 | mfu: 39.3% | epoch: 1 | remaining: 195s    
step 00375 (35.1%) | loss: 3.704798 | lrm: 1.00 | dt: 289ms | tok/sec: 1,815,705 | mfu: 39.8% | epoch: 1 | remaining: 194s    
step 00376 (35.2%) | loss: 3.694557 | lrm: 1.00 | dt: 293ms | tok/sec: 1,788,210 | mfu: 39.2% | epoch: 1 | remaining: 194s    
step 00377 (35.3%) | loss: 3.684386 | lrm: 1.00 | dt: 292ms | tok/sec: 1,792,940 | mfu: 39.3% | epoch: 1 | remaining: 194s    
step 00378 (35.4%) | loss: 3.670421 | lrm: 1.00 | dt: 291ms | tok/sec: 1,799,055 | mfu: 39.4% | epoch: 1 | remaining: 193s    
step 00379 (35.5%) | loss: 3.683742 | lrm: 1.00 | dt: 291ms | tok/sec: 1,803,793 | mfu: 39.5% | epoch: 1 | remaining: 193s    
step 00380 (35.6%) | loss: 3.711001 | lrm: 1.00 | dt: 290ms | tok/sec: 1,809,221 | mfu: 39.6% | epoch: 1 | remaining: 193s    
step 00381 (35.7%) | loss: 3.722582 | lrm: 1.00 | dt: 292ms | tok/sec: 1,796,829 | mfu: 39.3% | epoch: 1 | remaining: 193s    
step 00382 (35.8%) | loss: 3.680752 | lrm: 1.00 | dt: 290ms | tok/sec: 1,809,340 | mfu: 39.6% | epoch: 1 | remaining: 192s    
step 00383 (35.9%) | loss: 3.697045 | lrm: 1.00 | dt: 291ms | tok/sec: 1,800,394 | mfu: 39.4% | epoch: 1 | remaining: 192s    
step 00384 (36.0%) | loss: 3.703217 | lrm: 1.00 | dt: 288ms | tok/sec: 1,818,425 | mfu: 39.8% | epoch: 1 | remaining: 192s    
step 00385 (36.1%) | loss: 3.695843 | lrm: 1.00 | dt: 289ms | tok/sec: 1,812,448 | mfu: 39.7% | epoch: 1 | remaining: 191s    
step 00386 (36.2%) | loss: 3.681357 | lrm: 1.00 | dt: 291ms | tok/sec: 1,799,871 | mfu: 39.4% | epoch: 1 | remaining: 191s    
step 00387 (36.3%) | loss: 3.686500 | lrm: 1.00 | dt: 289ms | tok/sec: 1,811,043 | mfu: 39.7% | epoch: 1 | remaining: 191s    
step 00388 (36.4%) | loss: 3.696401 | lrm: 1.00 | dt: 289ms | tok/sec: 1,814,916 | mfu: 39.7% | epoch: 1 | remaining: 191s    
step 00389 (36.5%) | loss: 3.729595 | lrm: 1.00 | dt: 294ms | tok/sec: 1,783,890 | mfu: 39.1% | epoch: 1 | remaining: 190s    
step 00390 (36.6%) | loss: 3.751437 | lrm: 1.00 | dt: 290ms | tok/sec: 1,809,167 | mfu: 39.6% | epoch: 1 | remaining: 190s    
step 00391 (36.7%) | loss: 3.742247 | lrm: 1.00 | dt: 291ms | tok/sec: 1,804,232 | mfu: 39.5% | epoch: 1 | remaining: 190s    
step 00392 (36.8%) | loss: 3.772169 | lrm: 1.00 | dt: 291ms | tok/sec: 1,801,729 | mfu: 39.5% | epoch: 1 | remaining: 189s    
step 00393 (36.9%) | loss: 3.694008 | lrm: 1.00 | dt: 289ms | tok/sec: 1,813,009 | mfu: 39.7% | epoch: 1 | remaining: 189s    
step 00394 (37.0%) | loss: 3.643891 | lrm: 1.00 | dt: 290ms | tok/sec: 1,807,374 | mfu: 39.6% | epoch: 1 | remaining: 189s    
step 00395 (37.0%) | loss: 3.583190 | lrm: 1.00 | dt: 291ms | tok/sec: 1,798,615 | mfu: 39.4% | epoch: 1 | remaining: 189s    
step 00396 (37.1%) | loss: 3.613396 | lrm: 1.00 | dt: 291ms | tok/sec: 1,802,599 | mfu: 39.5% | epoch: 1 | remaining: 188s    
step 00397 (37.2%) | loss: 3.618787 | lrm: 1.00 | dt: 291ms | tok/sec: 1,800,985 | mfu: 39.4% | epoch: 1 | remaining: 188s    
step 00398 (37.3%) | loss: 3.629494 | lrm: 1.00 | dt: 289ms | tok/sec: 1,816,883 | mfu: 39.8% | epoch: 1 | remaining: 188s    
step 00399 (37.4%) | loss: 3.644715 | lrm: 1.00 | dt: 291ms | tok/sec: 1,799,606 | mfu: 39.4% | epoch: 1 | remaining: 187s    
step 00400 (37.5%) | loss: 3.663854 | lrm: 1.00 | dt: 290ms | tok/sec: 1,807,322 | mfu: 39.6% | epoch: 1 | remaining: 187s    
step 00401 (37.6%) | loss: 3.704332 | lrm: 1.00 | dt: 290ms | tok/sec: 1,809,931 | mfu: 39.6% | epoch: 1 | remaining: 187s    
step 00402 (37.7%) | loss: 3.739885 | lrm: 1.00 | dt: 291ms | tok/sec: 1,802,838 | mfu: 39.5% | epoch: 1 | remaining: 187s    
step 00403 (37.8%) | loss: 3.735241 | lrm: 1.00 | dt: 290ms | tok/sec: 1,809,310 | mfu: 39.6% | epoch: 1 | remaining: 186s    
step 00404 (37.9%) | loss: 3.688400 | lrm: 1.00 | dt: 290ms | tok/sec: 1,807,028 | mfu: 39.6% | epoch: 1 | remaining: 186s    
step 00405 (38.0%) | loss: 3.677420 | lrm: 1.00 | dt: 290ms | tok/sec: 1,806,011 | mfu: 39.5% | epoch: 1 | remaining: 186s    
step 00406 (38.1%) | loss: 3.749953 | lrm: 1.00 | dt: 289ms | tok/sec: 1,814,736 | mfu: 39.7% | epoch: 1 | remaining: 185s    
step 00407 (38.2%) | loss: 3.787274 | lrm: 1.00 | dt: 290ms | tok/sec: 1,808,487 | mfu: 39.6% | epoch: 1 | remaining: 185s    
step 00408 (38.3%) | loss: 3.784674 | lrm: 1.00 | dt: 290ms | tok/sec: 1,807,609 | mfu: 39.6% | epoch: 1 | remaining: 185s    
step 00409 (38.4%) | loss: 3.768698 | lrm: 1.00 | dt: 290ms | tok/sec: 1,808,200 | mfu: 39.6% | epoch: 1 | remaining: 185s    
step 00410 (38.5%) | loss: 3.747294 | lrm: 1.00 | dt: 290ms | tok/sec: 1,809,149 | mfu: 39.6% | epoch: 1 | remaining: 184s    
step 00411 (38.6%) | loss: 3.746865 | lrm: 1.00 | dt: 291ms | tok/sec: 1,799,578 | mfu: 39.4% | epoch: 1 | remaining: 184s    
step 00412 (38.7%) | loss: 3.723914 | lrm: 1.00 | dt: 293ms | tok/sec: 1,790,353 | mfu: 39.2% | epoch: 1 | remaining: 184s    
step 00413 (38.8%) | loss: 3.759203 | lrm: 1.00 | dt: 289ms | tok/sec: 1,815,681 | mfu: 39.8% | epoch: 1 | remaining: 183s    
step 00414 (38.9%) | loss: 3.757626 | lrm: 1.00 | dt: 292ms | tok/sec: 1,794,343 | mfu: 39.3% | epoch: 1 | remaining: 183s    
step 00415 (39.0%) | loss: 3.754197 | lrm: 1.00 | dt: 291ms | tok/sec: 1,803,169 | mfu: 39.5% | epoch: 1 | remaining: 183s    
step 00416 (39.1%) | loss: 3.823851 | lrm: 1.00 | dt: 292ms | tok/sec: 1,795,257 | mfu: 39.3% | epoch: 1 | remaining: 182s    
step 00417 (39.2%) | loss: 3.877754 | lrm: 1.00 | dt: 291ms | tok/sec: 1,800,034 | mfu: 39.4% | epoch: 1 | remaining: 182s    
step 00418 (39.3%) | loss: 3.859587 | lrm: 1.00 | dt: 291ms | tok/sec: 1,803,107 | mfu: 39.5% | epoch: 1 | remaining: 182s    
step 00419 (39.4%) | loss: 3.801828 | lrm: 1.00 | dt: 290ms | tok/sec: 1,810,058 | mfu: 39.6% | epoch: 1 | remaining: 182s    
step 00420 (39.5%) | loss: 3.775071 | lrm: 1.00 | dt: 290ms | tok/sec: 1,806,151 | mfu: 39.5% | epoch: 1 | remaining: 181s    
step 00421 (39.6%) | loss: 3.771526 | lrm: 1.00 | dt: 294ms | tok/sec: 1,784,749 | mfu: 39.1% | epoch: 1 | remaining: 181s    
step 00422 (39.7%) | loss: 3.690598 | lrm: 1.00 | dt: 291ms | tok/sec: 1,800,248 | mfu: 39.4% | epoch: 1 | remaining: 181s    
step 00423 (39.8%) | loss: 3.718717 | lrm: 1.00 | dt: 292ms | tok/sec: 1,796,486 | mfu: 39.3% | epoch: 1 | remaining: 180s    
step 00424 (39.9%) | loss: 3.743791 | lrm: 1.00 | dt: 291ms | tok/sec: 1,800,988 | mfu: 39.4% | epoch: 1 | remaining: 180s    
step 00425 (40.0%) | loss: 3.735366 | lrm: 1.00 | dt: 290ms | tok/sec: 1,810,839 | mfu: 39.7% | epoch: 1 | remaining: 180s    
step 00426 (40.1%) | loss: 3.756498 | lrm: 1.00 | dt: 289ms | tok/sec: 1,813,292 | mfu: 39.7% | epoch: 1 | remaining: 180s    
step 00427 (40.1%) | loss: 3.767569 | lrm: 1.00 | dt: 289ms | tok/sec: 1,812,341 | mfu: 39.7% | epoch: 1 | remaining: 179s    
step 00428 (40.2%) | loss: 3.729077 | lrm: 1.00 | dt: 290ms | tok/sec: 1,804,942 | mfu: 39.5% | epoch: 1 | remaining: 179s    
step 00429 (40.3%) | loss: 3.696975 | lrm: 0.99 | dt: 290ms | tok/sec: 1,805,565 | mfu: 39.5% | epoch: 1 | remaining: 179s    
step 00430 (40.4%) | loss: 3.673663 | lrm: 0.99 | dt: 290ms | tok/sec: 1,805,256 | mfu: 39.5% | epoch: 1 | remaining: 178s    
step 00431 (40.5%) | loss: 3.648520 | lrm: 0.99 | dt: 291ms | tok/sec: 1,802,851 | mfu: 39.5% | epoch: 1 | remaining: 178s    
step 00432 (40.6%) | loss: 3.635865 | lrm: 0.99 | dt: 291ms | tok/sec: 1,804,239 | mfu: 39.5% | epoch: 1 | remaining: 178s    
step 00433 (40.7%) | loss: 3.663464 | lrm: 0.99 | dt: 291ms | tok/sec: 1,800,810 | mfu: 39.4% | epoch: 1 | remaining: 178s    
step 00434 (40.8%) | loss: 3.704514 | lrm: 0.99 | dt: 290ms | tok/sec: 1,805,636 | mfu: 39.5% | epoch: 1 | remaining: 177s    
step 00435 (40.9%) | loss: 3.699629 | lrm: 0.98 | dt: 289ms | tok/sec: 1,815,233 | mfu: 39.7% | epoch: 1 | remaining: 177s    
step 00436 (41.0%) | loss: 3.717880 | lrm: 0.98 | dt: 291ms | tok/sec: 1,800,765 | mfu: 39.4% | epoch: 1 | remaining: 177s    
step 00437 (41.1%) | loss: 3.744260 | lrm: 0.98 | dt: 291ms | tok/sec: 1,803,598 | mfu: 39.5% | epoch: 1 | remaining: 176s    
step 00438 (41.2%) | loss: 3.748231 | lrm: 0.98 | dt: 292ms | tok/sec: 1,796,316 | mfu: 39.3% | epoch: 1 | remaining: 176s    
step 00439 (41.3%) | loss: 3.750014 | lrm: 0.98 | dt: 289ms | tok/sec: 1,814,910 | mfu: 39.7% | epoch: 1 | remaining: 176s    
step 00440 (41.4%) | loss: 3.772729 | lrm: 0.98 | dt: 292ms | tok/sec: 1,795,402 | mfu: 39.3% | epoch: 1 | remaining: 175s    
step 00441 (41.5%) | loss: 3.775079 | lrm: 0.97 | dt: 291ms | tok/sec: 1,800,552 | mfu: 39.4% | epoch: 1 | remaining: 175s    
step 00442 (41.6%) | loss: 3.769682 | lrm: 0.97 | dt: 291ms | tok/sec: 1,804,545 | mfu: 39.5% | epoch: 1 | remaining: 175s    
step 00443 (41.7%) | loss: 3.787491 | lrm: 0.97 | dt: 288ms | tok/sec: 1,818,405 | mfu: 39.8% | epoch: 1 | remaining: 175s    
step 00444 (41.8%) | loss: 3.789280 | lrm: 0.97 | dt: 292ms | tok/sec: 1,792,669 | mfu: 39.3% | epoch: 1 | remaining: 174s    
step 00445 (41.9%) | loss: 3.800445 | lrm: 0.97 | dt: 290ms | tok/sec: 1,807,726 | mfu: 39.6% | epoch: 1 | remaining: 174s    
step 00446 (42.0%) | loss: 3.862272 | lrm: 0.97 | dt: 292ms | tok/sec: 1,798,315 | mfu: 39.4% | epoch: 1 | remaining: 174s    
step 00447 (42.1%) | loss: 3.881775 | lrm: 0.97 | dt: 290ms | tok/sec: 1,805,231 | mfu: 39.5% | epoch: 1 | remaining: 173s    
step 00448 (42.2%) | loss: 3.863296 | lrm: 0.96 | dt: 291ms | tok/sec: 1,801,503 | mfu: 39.4% | epoch: 1 | remaining: 173s    
step 00449 (42.3%) | loss: 3.886704 | lrm: 0.96 | dt: 291ms | tok/sec: 1,802,441 | mfu: 39.5% | epoch: 1 | remaining: 173s    
step 00450 (42.4%) | loss: 3.872907 | lrm: 0.96 | dt: 290ms | tok/sec: 1,809,550 | mfu: 39.6% | epoch: 1 | remaining: 173s    
step 00451 (42.5%) | loss: 3.863935 | lrm: 0.96 | dt: 290ms | tok/sec: 1,805,208 | mfu: 39.5% | epoch: 1 | remaining: 172s    
step 00452 (42.6%) | loss: 3.830257 | lrm: 0.96 | dt: 290ms | tok/sec: 1,805,067 | mfu: 39.5% | epoch: 1 | remaining: 172s    
step 00453 (42.7%) | loss: 3.828092 | lrm: 0.96 | dt: 293ms | tok/sec: 1,787,528 | mfu: 39.1% | epoch: 1 | remaining: 172s    
step 00454 (42.8%) | loss: 3.823749 | lrm: 0.95 | dt: 290ms | tok/sec: 1,806,599 | mfu: 39.6% | epoch: 1 | remaining: 171s    
step 00455 (42.9%) | loss: 3.783953 | lrm: 0.95 | dt: 290ms | tok/sec: 1,806,619 | mfu: 39.6% | epoch: 1 | remaining: 171s    
step 00456 (43.0%) | loss: 3.736167 | lrm: 0.95 | dt: 291ms | tok/sec: 1,801,035 | mfu: 39.4% | epoch: 1 | remaining: 171s    
step 00457 (43.1%) | loss: 3.697949 | lrm: 0.95 | dt: 292ms | tok/sec: 1,798,222 | mfu: 39.4% | epoch: 1 | remaining: 171s    
step 00458 (43.2%) | loss: 3.670388 | lrm: 0.95 | dt: 290ms | tok/sec: 1,806,404 | mfu: 39.6% | epoch: 1 | remaining: 170s    
step 00459 (43.2%) | loss: 3.671936 | lrm: 0.95 | dt: 292ms | tok/sec: 1,798,518 | mfu: 39.4% | epoch: 1 | remaining: 170s    
step 00460 (43.3%) | loss: 3.677582 | lrm: 0.94 | dt: 293ms | tok/sec: 1,792,259 | mfu: 39.2% | epoch: 1 | remaining: 170s    
step 00461 (43.4%) | loss: 3.657338 | lrm: 0.94 | dt: 290ms | tok/sec: 1,809,258 | mfu: 39.6% | epoch: 1 | remaining: 169s    
step 00462 (43.5%) | loss: 3.663414 | lrm: 0.94 | dt: 290ms | tok/sec: 1,808,679 | mfu: 39.6% | epoch: 1 | remaining: 169s    
